data_ref_corpus_2025,data_ref_pascoa_2026,data_ref_maio_2026,data_atual,dia_da_semana,antecedencia,rota_principal,sentido,tipo_assento,turno,buscas_corpus_2025,buscas_pascoa_2026,buscas_maio_2026,buscas_corpus_2026,pax_atual,capacidade_atual,vagas_restantes,lf_corpus_2025,lf_pascoa_2026,lf_maio_2026,lf_atual,ratio_lf_corpus_2025,ratio_lf_pascoa_2026,ratio_lf_maio_2026,price_cc,tkm_corpus_2025,tkm_pascoa_2026,tkm_maio_2026,tkm_atual,mult_atual_aplicado,data_atualizacao,preco_cenario_atual,mult_flutuacao,preco_flutuacao,preco_maximo_feriado
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,CMP-SAO,CMP-SAO,semi leito,MADRUGADA,1014.0,1248.0,1140.0,51.0,1.0,46,45,0.0958,0.0662,0.0879,0.0148,0.1546,0.2239,0.1685,55.53125000000001,,,,16.9,1.0,,27.9,,27.9,
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,RAO-SAO,RAO-SAO,semi leito,MADRUGADA,1421.0,1533.0,1792.0,147.0,5.0,99,94,0.0784,0.1104,0.2404,0.0468,0.5968,0.4236,0.1946,151.645,,65.38,77.45,78.1,1.0094779411764705,,78.9,1.0,78.9,148.52
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,RAO-SAO,SAO-RAO,semi leito,MADRUGADA,1208.0,1899.0,1498.0,147.0,7.0,46,39,0.0217,0.0615,0.1263,0.146,6.7179,2.3739,1.1559,160.5825,,,,53.61,1.0022616279069767,,78.9,1.1,86.79,148.52
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,BHZ-DTI,DTI-BHZ,,MANHA,269.0,356.0,220.0,42.0,3.0,46,43,0.087,0.0,0.0255,0.0474,0.5453,,1.8571,145.37,48.71,,,42.23,,,,,,
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,BHZ-IPA,BHZ-IPA,semi leito,MANHA,426.0,1008.0,621.0,81.0,2.0,42,40,0.0168,0.0952,0.0625,0.0313,1.8602,0.3281,0.5,133.73199999999997,57.63,,62.28,44.9,1.0,,68.9,1.0,68.9,154.7
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,BHZ-IPA,IPA-BHZ,semi leito,MANHA,393.0,545.0,856.0,69.0,5.0,42,37,0.0754,0.1115,0.153,0.0955,1.2672,0.8568,0.6244,129.79999999999998,62.12,,,58.5,1.1210883838383843,,86.9,1.0,86.9,154.7
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,BHZ-MCL,BHZ-MCL,semi leito,MANHA,904.0,1909.0,969.0,83.0,2.0,64,62,0.1136,0.0833,0.1042,0.0274,0.2413,0.329,0.2632,188.82,70.53,120.59,89.48,76.9,1.1768242187500002,,102.9,1.0,102.9,189.9
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,BHZ-MCL,MCL-BHZ,semi leito,MANHA,581.0,1292.0,749.0,90.0,8.0,64,56,0.0455,0.0577,0.125,0.1198,2.6354,2.0764,0.9583,183.37,68.91,100.48,87.06,66.15,1.0,,86.9,1.13,98.2,189.9
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,BHZ-RIO,BHZ-RIO,semi leito,MANHA,3227.0,7516.0,4528.0,834.0,10.0,60,50,0.1541,0.2375,0.5022,0.1576,1.0228,0.6638,0.3139,109.96428571428571,88.85,164.18,149.88,79.1,1.1114375196789676,,101.9,1.05,107.0,305.52
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,BHZ-RIO,RIO-BHZ,semi leito,MANHA,1839.0,2548.0,1630.0,475.0,9.0,60,51,0.1103,0.0927,0.188,0.142,1.2867,1.5318,0.7553,99.99,95.87,104.74,111.56,93.79,1.0470646258503415,,105.9,1.0,105.9,305.52
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,BHZ-SAO,BHZ-SAO,,MANHA,2242.0,3683.0,3795.0,439.0,6.0,45,39,0.0585,0.3756,0.474,0.1043,1.7816,0.2777,0.22,198.335,71.73,,,58.57,,,,1.0,,301.5
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,CAB-RIO,RIO-CAB,semi leito,MANHA,338.0,606.0,429.0,34.0,,45,45,0.0121,0.1948,0.1517,0.0,0.0,0.0,0.0,87.953,30.19,,,,1.2224094202898563,,59.9,,59.9,
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,CMP-SAO,CMP-SAO,semi leito,MANHA,1014.0,1248.0,1140.0,51.0,3.0,46,43,0.0217,0.0652,0.1304,0.0652,3.0,1.0,0.5,55.60686274509804,,,,19.9,1.1468500000000001,,40.9,,40.9,
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,CMP-SAO,SAO-CMP,semi leito,MANHA,876.0,1146.0,970.0,49.0,2.0,92,90,0.0148,0.0564,0.0306,0.0188,1.2692,0.3335,0.6158,54.80181818181817,,,,15.9,1.0,,34.9,,34.9,
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,CMP-SJK,SJK-CMP,semi leito,MANHA,33.0,47.0,36.0,1.0,1.0,46,45,0.0249,0.048,0.0433,0.0073,0.293,0.152,0.1686,82.475,,29.24,,24.9,1.0956112700228828,,41.9,,41.9,
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,CRG-SAO,CRG-SAO,semi leito,MANHA,255.0,367.0,382.0,11.0,2.0,46,44,0.0217,0.1453,0.113,0.0435,2.0,0.2993,0.3849,98.5,,,,40.9,1.0,,43.9,,43.9,
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,CRG-SAO,SAO-CRG,semi leito,MANHA,369.0,623.0,645.0,37.0,7.0,88,81,0.0411,0.1402,0.0313,0.0526,1.2804,0.3752,1.6821,103.25,,,51.23,38.61,1.1589555094130675,,55.9,,55.9,
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,RAO-SAO,RAO-SAO,semi leito,MANHA,1421.0,1533.0,1792.0,147.0,2.0,54,52,0.1459,0.1226,0.2406,0.0295,0.2023,0.2406,0.1226,156.63899999999998,52.47,60.78,,42.9,1.0209794520547961,,79.9,1.0,79.9,148.52
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,RAO-SAO,SAO-RAO,semi leito,MANHA,1208.0,1899.0,1498.0,147.0,0.0,94,94,0.0265,0.1728,0.167,0.0,0.0,0.0,0.0,158.31444444444446,55.39,,,,1.0396729582577133,,80.9,0.95,76.86,148.52
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,RIO-SAO,RIO-SAO,semi leito,MANHA,3505.0,3473.0,2933.0,590.0,16.0,149,133,0.122,0.1293,0.2225,0.104,0.8521,0.8042,0.4673,110.9979591836734,78.04,81.07,83.97,70.46,1.0,,89.9,1.0,89.9,264.6
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,RIO-SAO,SAO-RIO,semi leito,MANHA,4990.0,5582.0,5609.0,1117.0,31.0,112,81,0.1674,0.1163,0.3857,0.2675,1.5983,2.3013,0.6937,101.52266666666657,83.23,128.9,108.32,71.61,1.0,,79.9,1.2075,96.48,264.6
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,SAO-SJK,SAO-SJK,semi leito,MANHA,461.0,611.0,510.0,48.0,2.0,92,90,0.0461,0.0618,0.0217,0.0217,0.4716,0.3516,1.0,51.718181818181804,18.62,,,15.9,1.0,,20.9,,20.9,
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,SAO-SJK,SJK-SAO,semi leito,MANHA,536.0,510.0,523.0,37.0,7.0,92,85,0.0669,0.1657,0.1874,0.0722,1.0786,0.4357,0.3852,44.91399999999999,29.3,,,16.19,1.0292362937062938,,28.9,1.0,28.9,55.2
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,SAO-SJP,SAO-SJP,semi leito,MANHA,875.0,1230.0,896.0,103.0,1.0,45,44,0.1163,0.1325,0.1252,0.0166,0.1428,0.1252,0.1326,167.91692307692307,64.32,106.94,79.24,76.9,1.0,,93.9,1.0,93.9,177.6
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,SAO-SJP,SJP-SAO,semi leito,MANHA,855.0,926.0,1385.0,94.0,,45,45,0.0508,0.0585,0.282,0.0,0.0,0.0,0.0,170.615,75.81,,101.81,,1.0892598823529422,,102.9,1.0,102.9,177.6
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,ANG-BHZ,ANG-BHZ,,NOITE,62.0,91.0,107.0,32.0,3.0,43,40,0.0,0.0652,0.0217,0.0604,,0.9256,2.7769,,,99.71,133.63,128.9,,,,,,
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,ANG-BHZ,BHZ-ANG,,NOITE,166.0,408.0,231.0,39.0,5.0,46,41,0.1247,0.6549,0.044,0.0978,0.7844,0.1493,2.2209,,93.3,272.22,,128.9,,,,,,
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,ARB-SAO,ARB-SAO,semi leito,NOITE,300.0,408.0,567.0,94.0,8.0,159,151,0.2101,0.1262,0.2175,0.0386,0.1837,0.3057,0.1774,199.3625,117.18,154.51,137.48,130.03,1.141182432745825,,127.9,0.9499999999999998,121.5,317.4
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,ARB-SAO,SAO-ARB,semi leito,NOITE,364.0,601.0,391.0,44.0,13.0,153,140,0.0802,0.2069,0.128,0.0589,0.7352,0.2848,0.4602,193.56545454545451,117.63,191.19,132.79,152.67,1.409844378306883,,149.9,1.0,149.9,317.4
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,BAT-SAO,SAO-BAT,semi leito,NOITE,213.0,412.0,220.0,51.0,9.0,90,81,0.12,0.2596,0.1927,0.083,0.692,0.3198,0.4307,211.05,105.37,125.58,105.65,84.9,1.107696515679443,,151.9,1.0,151.9,252.3
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,BHZ-BSB,BHZ-BSB,leito,NOITE,532.0,895.0,764.0,186.0,9.0,91,82,0.1111,0.3111,0.2465,0.0987,0.8887,0.3174,0.4005,210.77800000000002,,,,161.34,1.2295846834264417,,176.9,0.99,175.13,428.62
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,BHZ-BSB,BSB-BHZ,leito,NOITE,457.0,1021.0,527.0,180.0,15.0,91,76,0.1848,0.3778,0.2092,0.1649,0.8922,0.4364,0.7882,198.54399999999998,,,,150.83,1.1240116114415197,,169.9,1.03,175.0,428.62
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,BHZ-CAB,BHZ-CAB,semi leito,NOITE,933.0,5574.0,2313.0,556.0,103.0,244,141,0.2363,0.6051,0.7554,0.4386,1.8557,0.7248,0.5806,266.04285714285714,134.91,221.18,218.72,143.23,1.1870558152498023,,170.9,1.0,170.9,496.32
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,BHZ-CAB,CAB-BHZ,semi leito,NOITE,559.0,856.0,426.0,275.0,29.0,147,118,0.0902,0.4017,0.3868,0.1503,1.6659,0.3742,0.3886,177.4714285714286,,117.17,144.76,133.18,1.0,,150.9,0.9,135.81,496.32
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,BHZ-CDG,BHZ-CDG,semi leito,NOITE,154.0,117.0,99.0,14.0,4.0,40,36,0.1997,0.0,0.0874,0.0595,0.2979,,0.6805,221.12,88.74,,85.43,68.15,1.25031034090909,,124.9,1.0,124.9,287.4
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,BHZ-CDG,CDG-BHZ,semi leito,NOITE,107.0,169.0,101.0,13.0,3.0,41,38,0.2032,0.0,0.0,0.0533,0.2624,,,222.07,70.68,,,66.9,1.1806882352941181,,112.9,1.0,112.9,287.4
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,BHZ-CMP,BHZ-CMP,leito,NOITE,385.0,603.0,355.0,107.0,16.0,40,24,0.0993,0.3109,0.2679,0.3541,3.565,1.1391,1.3216,178.73666666666665,,,,151.65,1.029653834782608,,185.9,1.265,235.16,369.18
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,BHZ-CMP,CMP-BHZ,leito,NOITE,376.0,655.0,314.0,109.0,16.0,43,27,0.0204,0.104,0.2669,0.3259,15.9506,3.1349,1.2211,184.4,,,,137.65,1.0367883620689655,,167.9,1.3225,222.05,369.18
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,BHZ-GYN,BHZ-GYN,semi leito,NOITE,400.0,609.0,357.0,132.0,16.0,60,44,0.2827,0.2669,0.1536,0.2604,0.9211,0.9756,1.6955,208.46,120.33,183.63,128.24,140.15,1.1619282546351886,,111.9,1.15,128.69,368.34
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,BHZ-GYN,GYN-BHZ,semi leito,NOITE,283.0,458.0,260.0,74.0,36.0,120,84,0.2576,0.1792,0.1107,0.2263,0.8784,1.2628,2.0438,294.045,103.59,130.76,117.68,122.93,1.0,,100.9,1.05,105.95,368.34
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,BHZ-IPA,BHZ-IPA,semi leito,NOITE,426.0,1008.0,621.0,81.0,6.0,92,86,0.0579,0.0878,0.0678,0.0511,0.8812,0.5815,0.7533,133.35,,,87.1,54.4,1.0478295339412358,,91.9,1.0,91.9,154.7
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,BHZ-IPA,IPA-BHZ,semi leito,NOITE,393.0,545.0,856.0,69.0,8.0,92,84,0.0547,0.1414,0.3331,0.0657,1.2023,0.4649,0.1973,129.8,,112.23,,68.4,1.099346160253208,,93.9,1.0,93.9,154.7
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,16,BHZ-MCE,MCE-BHZ,,NOITE,104.0,96.0,92.0,12.0,1.0,45,44,0.0227,0.0,0.0,0.0222,0.9778,,,,110.38,,,128.9,,,,,,
